Date,Kbrevis,S79.Q,S79.TN,S79.TP,S77.TN
1/11/2005,0.35540784,,,,
1/25/2005,0.69855808,,,,
2/8/2005,0.88650543,,,,
2/22/2005,0.9063847,,,,
3/8/2005,0.76550384,,,,
3/22/2005,0.50241627,,,,
4/5/2005,0.19115886,,,,
4/19/2005,-0.1357597,,,,
5/3/2005,-0.44794775,,,,
5/17/2005,-0.67026386,,,,
5/31/2005,-0.75878952,,,,
6/14/2005,-0.69301139,,,,
6/28/2005,-0.4627219,,,,
7/12/2005,-0.10662937,,,,
7/26/2005,0.35141762,,,,
8/9/2005,0.83275517,,,,
8/23/2005,1.27486137,,,,
9/6/2005,1.61507306,,,,
9/20/2005,1.80242575,,,,
10/4/2005,1.81272551,,,,
10/18/2005,1.64816283,,,,
11/1/2005,1.33415554,,,,
11/15/2005,0.90798649,,,,
11/29/2005,0.41054487,,,,
12/13/2005,-0.09746989,,,,
12/27/2005,-0.56031764,,,,
1/10/2006,-0.94422305,,,,
1/24/2006,-1.22430365,,,,
2/7/2006,-1.38510909,,,,
2/21/2006,-1.42927191,,,,
3/7/2006,-1.36764244,,,,
3/21/2006,-1.2147341,,,,
4/4/2006,-0.98390135,,,,
4/18/2006,-0.68510052,,,,
5/2/2006,-0.32566224,,,,
5/16/2006,0.08929019,,,,
5/30/2006,0.55319711,,,,
6/13/2006,1.05513772,,,,
6/27/2006,1.57247833,,,,
7/11/2006,2.07816044,,,,
7/25/2006,2.53866835,,,,
8/8/2006,2.92228807,,,,
8/22/2006,3.20076812,,,,
9/5/2006,3.35289447,,,,
9/19/2006,3.37075523,,,,
10/3/2006,3.26150973,,,,
10/17/2006,3.0472437,,,,
10/31/2006,2.76043248,,,,
11/14/2006,2.44187763,,,,
11/28/2006,2.12951429,,,,
12/12/2006,1.85357324,,,,
12/26/2006,1.62991405,,,,
1/9/2007,1.45158207,,,,
1/23/2007,1.29451485,,,,
2/6/2007,1.12503739,,,,
2/20/2007,0.90515384,,,,
3/6/2007,0.6071448,,,,
3/20/2007,0.20798651,,,,
4/3/2007,-0.28872352,,,,
4/17/2007,-0.85354045,,,,
5/1/2007,-1.43871006,,,,
5/15/2007,-1.98190261,,,,
5/29/2007,-2.41667938,,,,
6/12/2007,-2.68401304,,,,
6/26/2007,-2.74329112,,,,
7/10/2007,-2.58141497,,,,
7/24/2007,-2.21690275,,,,
8/7/2007,-1.69789351,,,,
8/21/2007,-1.09510495,,,,
9/4/2007,-0.49043384,,,,
9/18/2007,0.03540317,,,,
10/2/2007,0.41214436,,,,
10/16/2007,0.60132446,,,,
10/30/2007,0.58782481,,,,
11/13/2007,0.39065195,,,,
11/27/2007,0.05547828,,,,
12/11/2007,-0.35859915,,,,
12/25/2007,-0.78789157,,,,
1/8/2008,-1.17711669,,,,
1/22/2008,-1.48781208,,,,
2/5/2008,-1.7029206,,,,
2/19/2008,-1.82653291,,,,
3/4/2008,-1.87915303,,,,
3/18/2008,-1.89114228,,,,
4/1/2008,-1.8909552,,,,
4/15/2008,-1.90074538,,,,
4/29/2008,-1.92991623,,,,
5/13/2008,-1.97322573,,,,
5/27/2008,-2.01362096,,,,
6/10/2008,-2.02794431,,,,
6/24/2008,-1.99433918,,,,
7/8/2008,-1.89917629,,,,
7/22/2008,-1.74231311,,,,
8/5/2008,-1.53853428,,,,
8/19/2008,-1.31558777,,,,
9/2/2008,-1.10871837,,,,
9/16/2008,-0.95330369,,,,
9/30/2008,-0.87752839,,,,
10/14/2008,-0.89574114,,,,
10/28/2008,-1.00080079,,,,
11/11/2008,-1.1684127,,,,
11/25/2008,-1.36313621,,,,
12/9/2008,-1.5453102,,,,
12/23/2008,-1.67984694,,,,
1/6/2009,-1.74438231,,,,
1/20/2009,-1.73470536,,,,
2/3/2009,-1.66643717,,,,
2/17/2009,-1.5719286,,,,
3/3/2009,-1.49297391,,,,
3/17/2009,-1.4707685,,,-0.00988122,
3/31/2009,-1.53571055,,,-0.00047965,
4/14/2009,-1.69847311,,,0.01221694,
4/28/2009,-1.94740761,,,0.02747816,
5/12/2009,-2.24322611,,,0.04414364,
5/26/2009,-2.52991423,,,0.06027501,
6/9/2009,-2.74340603,,,0.07391524,
6/23/2009,-2.82400089,,,0.08282058,
7/7/2009,-2.728479,,,0.08700094,
7/21/2009,-2.43921865,,,0.08625899,
8/4/2009,-1.96998305,,,0.08078349,
8/18/2009,-1.36330447,,,0.07094909,
9/1/2009,-0.68640497,,,0.05846362,
9/15/2009,-0.01963598,,,0.04487312,
9/29/2009,0.55737881,,,0.03169028,
10/13/2009,0.97788408,,,0.02027621,
10/27/2009,1.19989994,,,0.01093142,
11/10/2009,1.21113983,,,0.00352267,
11/24/2009,1.03198417,,,-0.00230771,
12/8/2009,0.70880057,,,-0.00707481,
12/22/2009,0.30202373,,,-0.01123865,
1/5/2010,-0.12679092,,,-0.01508575,
1/19/2010,-0.52224772,,,-0.01862172,
2/2/2010,-0.84388768,,,-0.02157495,
2/16/2010,-1.07430183,,,-0.02356272,
3/2/2010,-1.21792237,,,-0.02431114,
3/16/2010,-1.29625901,,,-0.02368466,
3/30/2010,-1.33968412,,,-0.02155271,-0.09520029
4/13/2010,-1.37837689,,,-0.01780163,-0.02951254
4/27/2010,-1.43445655,,,-0.01259565,0.02375027
5/11/2010,-1.5165896,,,-0.00631286,0.06202106
5/25/2010,-1.61908141,,,0.00042789,0.08798979
6/8/2010,-1.72391067,,,0.00682693,0.11204293
6/22/2010,-1.80607399,,,0.01206532,0.12941677
7/6/2010,-1.8423106,,,0.01538752,0.15012331
7/20/2010,-1.81814489,,,0.01614236,0.17395828
8/3/2010,-1.73090436,,,0.01422524,0.20035863
8/17/2010,-1.59356271,,,0.00969451,0.22331943
8/31/2010,-1.43222609,,,0.00308358,0.23402708
9/14/2010,-1.28050416,,,-0.00473771,0.22435574
9/28/2010,-1.17175156,,,-0.01279844,0.19344908
10/12/2010,-1.13095767,,,-0.02020106,0.14504562
10/26/2010,-1.16870878,,,-0.0263705,0.08493222
11/9/2010,-1.2782985,,,-0.03115619,0.02095516
