gaussian,STA34_Cin,STA34_Cout,Kb,stochastic_ODE_z,stochastic_ODE_x
0.344000753,-41.99129729,-0.00682635,0.355407845,0.5,0.1
-0.101151954,-36.269683,-0.00468992,0.698558079,0.86636031,0.123310371
-0.271779746,-25.64143148,-0.00224607,0.886505425,1.48478075,0.110520307
-0.28834336,-19.5845342,-0.00030474,0.906384703,1.517038849,0.083316676
-1.080546121,-18.81721536,0.000527,0.765503836,1.544654929,0.056180552
-1.438570437,-15.392202,-0.00002907,0.502416266,1.557217708,0.029274043
-0.099427504,-2.886272385,-0.00189151,0.19115886,1.540703246,0.002364748
-1.137123302,14.93243205,-0.00479456,-0.135759696,1.470438833,-0.024842258
0.081038026,25.80577552,-0.00795437,-0.447947751,1.407214954,-0.051254079
1.423104388,19.65239264,-0.01041217,-0.670263859,1.420670374,-0.077536824
-0.195090499,0.120093216,-0.01144382,-0.758789516,1.436292145,-0.104125136
0.414611625,-17.28212425,-0.01068822,-0.693011393,1.454379272,-0.130996969
-0.302966831,-18.41360898,-0.00824918,-0.462721904,1.475977027,-0.158105397
-0.518059113,-3.126267709,-0.00472405,-0.106629374,1.503491148,-0.185361054
0.291279868,16.60625918,-0.00097299,0.351417623,1.542828181,-0.212560259
-0.962517064,27.56937633,0.00206146,0.832755173,1.607572843,-0.23909487
-0.90841075,28.4604525,0.00369779,1.274861369,1.724088309,-0.26287262
0.593138603,27.51211761,0.00361314,1.615073056,1.944984338,-0.27703078
-0.628789795,32.57253335,0.00200379,1.80242575,2.317822467,-0.26725287
1.286149521,42.37697708,-0.00051294,1.812725509,2.207643038,-0.244803515
-0.632614459,47.86189941,-0.00304917,1.64816283,2.353006695,-0.224729492
-0.004219878,42.01621231,-0.0046676,1.334155537,2.772766816,-0.199456829
-1.210942469,28.14557468,-0.00468607,0.907986491,2.70735736,-0.17861147
0.171423186,17.63588603,-0.00284391,0.410544868,2.712268821,-0.157030258
1.181560385,19.2804739,0.00058245,-0.097469887,2.724081828,-0.135862937
-0.192733074,31.11423619,0.00485435,-0.560317642,2.759339325,-0.115881063
-0.170576362,41.44879501,0.00902464,-0.944223046,2.889639763,-0.100801684
-0.384488191,40.9344314,0.01215485,-1.224303651,3.610762509,-0.106556954
0.512062502,30.74836943,0.01358409,-1.385109088,3.601580227,-0.13240875
0.246601533,21.10953974,0.01306726,-1.429271914,3.659278011,-0.157627299
-0.511855475,21.376095,0.01089732,-1.367642442,3.786482348,-0.178560196
-0.500137498,30.63823503,0.00787464,-1.214734097,3.939009097,-0.189927153
-1.034879042,38.6492184,0.00491116,-0.983901352,4.102999562,-0.188247027
0.465633299,36.14161608,0.0029413,-0.685100519,4.287397355,-0.172922066
-0.901634569,22.71705504,0.00263099,-0.325662235,4.495498083,-0.147704795
-1.214193969,7.423167441,0.00417233,0.089290194,4.702668207,-0.122216945
-1.062864553,-0.661337573,0.00725609,0.553197108,4.909148354,-0.106765503
0.549558644,-0.89939032,0.01111959,1.05513772,4.921923486,-0.100364749
0.435543404,-0.748080881,0.01474322,1.57247833,5.104042398,-0.099335074
0.346089335,-6.835314941,0.01713481,2.078160439,5.191455039,-0.114582015
-0.234235995,-17.27693451,0.01759663,2.538668349,5.13761498,-0.128350206
-0.627181336,-22.6229484,0.01591266,2.922288073,5.045850973,-0.136208843
-0.627078494,-15.23411237,0.01244184,3.200768121,5.227080585,-0.145229474
-0.746442014,1.908300892,0.00801298,3.352894468,5.319580233,-0.165300593
0.17162753,16.26181014,0.00369968,3.370755235,5.360530406,-0.18908958
0.507501182,16.09764029,0.00051127,3.261509731,5.438749727,-0.214857609
-1.044914071,0.871839588,-0.00086819,3.047243702,5.56112951,-0.241966516
