Seatrout,cormorant,DO,chl_Jon,csna_simon,NPGO
0.398,-170.351,-2.586,-8.456,-3.214,0.478
0.38,-3.75,-3.652,-7.93,-2.573,0.556
0.273,151.769,-1.572,-6.119,-2.932,0.443
0.174,192.464,2.335,-4.03,-1.28,0.033
0.198,112.639,2.487,-2.498,-0.824,-0.398
0.29,-4.199,-0.561,-1.671,-0.781,-0.678
0.331,-66.5,-2.999,-1.366,0.68,-0.67
0.26,-74.098,-3.971,-1.601,0.188,-0.339
0.116,-99.494,-1.725,-2.405,0.549,0.107
0.009,-193.755,2.347,-3.638,1.139,0.467
-0.012,-316.301,2.607,-4.96,0.477,0.584
0.014,-363.407,-0.478,-6.011,1.444,0.39
0.016,-272.058,-2.981,-6.598,1.591,0
-0.014,-91.694,-3.936,-6.672,1.39,-0.43
-0.012,52.267,-1.607,-6.202,2.376,-0.783
0.081,72.217,2.615,-5.378,1.634,-0.911
0.236,-4.543,2.977,-4.459,1.573,-0.791
0.317,-76.689,-0.18,-3.722,1.863,-0.512
0.212,-83.888,-2.795,-3.397,0.714,-0.186
-0.054,-66.554,-3.77,-3.566,1.309,0.042
-0.312,-112.618,-1.359,-4.232,0.959,0.074
-0.375,-242.388,2.995,-5.268,0.361,-0.082
-0.205,-366.802,3.434,-6.463,1.348,-0.299
0.063,-364.204,0.232,-7.55,0.703,-0.444
0.229,-202.56,-2.467,-8.223,1.038,-0.408
0.205,20.499,-3.448,-8.303,1.586,-0.172
0.073,163.307,-0.956,-7.831,0.411,0.191
-0.009,166.706,3.527,-6.951,0.846,0.514
0.043,97.922,4.033,-5.876,0.221,0.653
0.16,63.428,0.764,-4.863,-0.618,0.44
0.208,91.359,-2.057,-4.186,0.122,-0.127
0.122,106.493,-3.116,-4.035,-0.722,-0.888
-0.025,22.776,-0.627,-4.435,-0.447,-1.618
-0.098,-145.109,3.896,-5.22,0.311,-2.035
-0.032,-278.491,4.408,-6.098,-0.224,-1.956
0.107,-264.319,1.057,-6.703,0.526,-1.366
0.194,-106.934,-1.897,-6.65,0.187,-0.373
0.173,72.525,-3.042,-5.61,-0.42,0.779
0.103,149.782,-0.561,-3.447,-0.069,1.761
0.088,109.166,3.999,-0.289,-0.597,2.319
0.155,41.002,4.541,3.508,-0.305,2.315
0.219,32.114,1.143,7.445,0.26,1.774
0.175,69.535,-1.912,10.934,0.265,0.917
0.008,58.136,-3.132,13.387,1.162,0.031
-0.17,-66.733,-0.674,14.324,1.382,-0.586
-0.224,-253.265,3.908,13.456,1.063,-0.73
-0.117,-367.839,4.46,10.913,0.609,-0.42
0.049,-318.351,1.007,7.108,-0.691,0.183
0.129,-142.08,-2.139,2.664,-1.837,0.824
0.069,30.985,-3.428,-1.684,-2.668,1.279
-0.051,101.645,-0.99,-5.193,-3.273,1.344
-0.109,85.589,3.621,-7.221,-3.222,1.051
-0.066,75.602,4.209,-7.444,-2.882,0.513
0.001,127.03,0.741,-5.827,-1.748,-0.088
-0.013,192.168,-2.453,-2.624,-0.742,-0.53
-0.115,172.844,-3.777,1.684,0.194,-0.601
-0.202,35.693,-1.344,6.427,1.249,-0.499
-0.16,-136.183,3.306,10.829,,
0.008,-211.706,3.946,14.225,,
0.164,-132.831,0.494,16.235,,
0.167,33.511,-2.711,16.743,,
-0.001,163.373,-4.048,15.812,,
-0.187,193.728,-1.609,13.638,,
-0.212,168.599,3.089,10.71,,
-0.026,172.777,3.802,7.618,,
0.237,228.021,0.404,4.807,,
0.375,261.099,-2.779,2.579,,
0.298,184.298,-4.11,1.092,,
0.089,-1.065,-1.663,0.391,,
-0.067,-188.622,3.068,0.291,,
-0.063,-259.467,3.837,0.548,,
0.055,-189,0.487,0.88,,
0.15,-61.093,-2.676,1.068,,
0.137,20.846,-4.003,0.952,,
0.062,33.226,-1.555,0.449,,
0.039,38.785,3.199,-0.396,,
0.124,101.063,4.034,-1.426,,
0.248,200.835,0.757,-2.41,,
0.289,247.139,-2.359,-3.139,,
0.194,172.239,-3.671,-3.496,,
0.033,10.812,-1.231,-3.455,,
-0.069,-121.697,3.523,-3.067,,
-0.058,-131.914,4.381,-2.491,,
0.004,-28.893,1.127,-1.892,,
0.012,96.263,-1.991,-1.471,,
-0.062,166.342,-3.337,-1.389,,
-0.131,188.273,-0.953,-1.688,,
-0.082,227.441,3.754,-2.334,,
0.097,319.611,4.601,-3.217,,
0.283,416.896,1.364,-4.16,,
0.323,429.97,-1.741,-4.949,,
0.165,314.304,-3.103,-5.41,,
-0.078,128.117,-0.771,-5.514,,
-0.234,-17.26,3.877,-5.328,,
-0.215,-54.027,4.697,-4.925,,
-0.085,-7.882,1.462,-4.437,,
0.023,39.994,-1.644,-4.056,,
0.041,42.321,-3.043,-3.989,,
0.028,28.143,-0.799,-4.362,,
0.087,58.661,3.75,-5.176,,
0.239,144.789,4.514,-6.308,,
0.374,219.238,1.275,-7.565,,
0.352,195.88,-1.816,-8.69,,
0.142,57.327,-3.233,-9.389,,
-0.126,-120.611,-1.066,-9.406,,
-0.262,-233.696,3.394,-8.605,,
-0.175,-237.578,4.122,-6.991,,
0.045,-174.543,0.91,-4.667,,
0.223,-116.462,-2.13,-1.815,,
0.244,-87.285,-3.536,1.269,,
0.149,-46.755,-1.429,4.192,,
0.07,52.736,2.953,6.536,,
0.089,196.738,3.663,8.036,,
0.161,305.931,0.508,8.731,,
0.172,305.413,-2.444,8.544,,
0.061,197.492,-3.806,7.506,,
-0.112,61.794,-1.735,5.781,,
-0.219,-16.481,2.585,3.675,,
-0.191,-17.249,3.291,1.433,,
-0.079,11.898,0.213,-0.773,,
0.009,18.607,-2.628,-2.599,,
0.007,4.22,-3.928,-3.836,,
-0.039,16.726,-1.884,-4.389,,
-0.044,88.39,2.381,-4.397,,
0.017,186.078,3.091,-4.028,,
0.068,229.312,0.108,-3.232,,
0.014,161.193,-2.598,-1.943,,
-0.151,2.097,-3.812,-0.404,,
-0.317,-168.306,-1.768,0.969,,
-0.345,-280.995,2.462,1.983,,
-0.205,-329.813,3.188,3.072,,
-0.008,-357.307,0.302,4.154,,
0.086,-393.936,-2.274,4.835,,
0.011,-419.517,-3.415,5.124,,
-0.143,-387.674,-1.399,5.224,,
